,Unnamed: 0.1,Unnamed: 0,ID_do_cliente,Idade,Gênero,Item_comprado,Categoria,Valor_da_compra_(USD),Localização,Tamanho,Cor,Temporada,Avaliação_da_avaliação,Status_da_assinatura,Método_de_pagamento,Tipo_de_envio,Desconto_aplicado,Código_promocional_usado,Compras_Anteriores,Método_de_pagamento_preferido,Frequência_de_compras
26,26,26,27,38,Masculino,Jóias,Acessórios,20,Nevada,M,Red,Primavera,3.6,Yes,Cash,Next Day Air,Yes,Yes,13,Credit Card,Anual
27,27,27,28,56,Masculino,Shorts,Roupas,56,Kentucky,L,Cyan,Verão,5.0,Yes,Debit Card,Next Day Air,Yes,Yes,7,Bank Transfer,Cada 3 meses
28,28,28,29,54,Masculino,Bolsa,Acessórios,94,North Carolina,M,Gray,Outono,4.4,Yes,Debit Card,Free Shipping,Yes,Yes,41,PayPal,Cada 3 meses
29,29,29,30,31,Masculino,Vestido,Roupas,48,Wyoming,S,Black,Outono,4.1,Yes,Venmo,Store Pickup,Yes,Yes,14,Credit Card,Semanal
30,30,30,31,57,Masculino,Jóias,Acessórios,31,North Carolina,L,Black,Inverno,4.7,Yes,Bank Transfer,Standard,Yes,Yes,16,Credit Card,Mensal
31,31,31,32,33,Masculino,Vestido,Roupas,79,West Virginia,L,Brown,Inverno,4.7,Yes,Venmo,Store Pickup,Yes,Yes,45,Venmo,Mensal
32,32,32,33,36,Masculino,Jaqueta,Agasalhos,67,Kansas,M,Silver,Verão,4.9,Yes,Bank Transfer,Free Shipping,Yes,Yes,37,Venmo,Anual
33,33,33,34,54,Masculino,Calças,Roupas,38,Colorado,L,Green,Verão,3.3,Yes,Venmo,Store Pickup,Yes,Yes,45,Cash,Trimestral
34,34,34,35,36,Masculino,T-shirt,Roupas,91,North Dakota,L,Violet,Primavera,4.6,Yes,Debit Card,2-Day Shipping,Yes,Yes,38,PayPal,Trimestral
35,35,35,36,54,Masculino,Blusa,Roupas,33,Massachusetts,M,Cyan,Verão,4.0,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,48,Credit Card,Cada 2 semanas
36,36,36,37,35,Masculino,T-shirt,Roupas,69,Illinois,M,Maroon,Inverno,4.6,Yes,Cash,Free Shipping,Yes,Yes,44,PayPal,Quinzenal
37,37,37,38,35,Masculino,Jeans,Roupas,45,Indiana,S,Cyan,Verão,2.8,Yes,Debit Card,Store Pickup,Yes,Yes,10,PayPal,Semanal
38,38,38,39,29,Masculino,Vestido,Roupas,37,Florida,M,Red,Inverno,3.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,44,Venmo,Cada 3 meses
39,39,39,40,70,Masculino,Calças,Roupas,60,Arizona,S,Turquoise,Verão,4.2,Yes,Bank Transfer,Express,Yes,Yes,18,Credit Card,Mensal
40,40,40,41,69,Masculino,Bolsa,Acessórios,76,Louisiana,L,Beige,Inverno,4.6,Yes,PayPal,Next Day Air,Yes,Yes,31,Debit Card,Trimestral
41,41,41,42,67,Masculino,Lenço,Acessórios,39,Alaska,M,Orange,Primavera,4.5,Yes,Cash,Standard,Yes,Yes,40,Venmo,Anual
42,42,42,43,20,Masculino,Casaco,Agasalhos,100,Tennessee,M,Beige,Primavera,4.1,Yes,Bank Transfer,Free Shipping,Yes,Yes,15,PayPal,Anual
43,43,43,44,25,Masculino,Lenço,Acessórios,69,Ohio,L,Lavender,Outono,3.7,Yes,PayPal,Store Pickup,Yes,Yes,19,PayPal,Quinzenal
44,44,44,45,39,Masculino,Chapéu,Acessórios,53,Kentucky,S,Silver,Verão,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,45,PayPal,Semanal
45,45,45,46,50,Masculino,Meias,Roupas,21,Tennessee,XL,Indigo,Outono,2.9,Yes,Venmo,2-Day Shipping,Yes,Yes,25,PayPal,Anual
46,46,46,47,57,Masculino,Camisa,Roupas,43,California,L,White,Verão,2.9,Yes,Venmo,Store Pickup,Yes,Yes,45,Cash,Trimestral
47,47,47,48,55,Masculino,Jóias,Acessórios,54,Montana,M,Charcoal,Inverno,4.5,Yes,Debit Card,Free Shipping,Yes,Yes,36,Cash,Semanal
48,48,48,49,42,Masculino,Camisa,Roupas,55,Nevada,M,Orange,Verão,2.7,Yes,Debit Card,Store Pickup,Yes,Yes,38,Cash,Mensal
49,49,49,50,68,Masculino,Hoodie,Roupas,30,New Jersey,S,Indigo,Primavera,4.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,34,Debit Card,Cada 2 semanas
50,50,50,51,49,Masculino,Blusa,Roupas,28,Maryland,M,Red,Primavera,3.7,Yes,Cash,Store Pickup,Yes,Yes,39,Debit Card,Cada 2 semanas
51,51,51,52,59,Masculino,Saia,Roupas,59,Vermont,XL,Gray,Inverno,4.7,Yes,PayPal,2-Day Shipping,Yes,Yes,7,Credit Card,Trimestral
52,52,52,53,42,Masculino,T-shirt,Roupas,20,Alaska,M,Green,Verão,2.6,Yes,Credit Card,Free Shipping,Yes,Yes,26,Credit Card,Semanal
53,53,53,54,29,Masculino,Saia,Roupas,24,Mississippi,S,Peach,Inverno,3.9,Yes,Debit Card,Next Day Air,Yes,Yes,35,Credit Card,Semanal
54,54,54,55,47,Masculino,Casaco,Agasalhos,94,New Mexico,M,Brown,Verão,4.2,Yes,Bank Transfer,Next Day Air,Yes,Yes,35,Debit Card,Cada 2 semanas
55,55,55,56,40,Masculino,Jaqueta,Agasalhos,28,South Carolina,M,Lavender,Inverno,3.0,Yes,Venmo,2-Day Shipping,Yes,Yes,49,Credit Card,Anual
56,56,56,57,41,Masculino,Mochila,Acessórios,73,Mississippi,XL,Brown,Verão,4.7,Yes,PayPal,Store Pickup,Yes,Yes,46,Credit Card,Semanal
57,57,57,58,21,Masculino,Casaco,Agasalhos,64,West Virginia,M,White,Verão,4.4,Yes,PayPal,Store Pickup,Yes,Yes,17,Debit Card,Quinzenal
58,58,58,59,69,Masculino,Hoodie,Roupas,54,Missouri,M,Charcoal,Verão,4.2,Yes,Credit Card,Free Shipping,Yes,Yes,29,Venmo,Mensal
59,59,59,60,63,Masculino,Cinto,Acessórios,79,Louisiana,L,Yellow,Primavera,4.6,Yes,Debit Card,Standard,Yes,Yes,4,Debit Card,Semanal
60,60,60,61,50,Masculino,Suéter,Roupas,37,Idaho,L,Brown,Verão,4.0,Yes,Credit Card,Express,Yes,Yes,17,Cash,Semanal
61,61,61,62,55,Masculino,Lenço,Acessórios,68,Texas,M,Orange,Inverno,4.7,Yes,Bank Transfer,Store Pickup,Yes,Yes,21,Credit Card,Cada 3 meses
62,62,62,63,30,Masculino,Tênis,Calçados,21,Mississippi,S,Magenta,Primavera,3.8,Yes,Credit Card,Free Shipping,Yes,Yes,31,Credit Card,Quinzenal
63,63,63,64,33,Masculino,Óculos de sol,Acessórios,79,Arizona,L,Lavender,Inverno,2.7,Yes,Credit Card,2-Day Shipping,Yes,Yes,43,Credit Card,Semanal
64,64,64,65,65,Masculino,Botas,Calçados,83,Alabama,S,Green,Outono,4.8,Yes,PayPal,Standard,Yes,Yes,18,Debit Card,Quinzenal
65,65,65,66,65,Masculino,Mochila,Acessórios,36,New Jersey,M,Purple,Primavera,4.8,Yes,Credit Card,2-Day Shipping,Yes,Yes,44,Venmo,Cada 3 meses
66,66,66,67,31,Masculino,Blusa,Roupas,94,Pennsylvania,S,Magenta,Inverno,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,3,Venmo,Cada 3 meses
67,67,67,68,45,Masculino,Casaco,Agasalhos,33,Connecticut,L,Gray,Inverno,4.4,Yes,PayPal,Store Pickup,Yes,Yes,49,Debit Card,Mensal
68,68,68,69,57,Masculino,Bolsa,Acessórios,46,Utah,L,Silver,Verão,3.9,Yes,Credit Card,Next Day Air,Yes,Yes,21,Cash,Cada 3 meses
69,69,69,70,48,Masculino,Cinto,Acessórios,70,Tennessee,S,Cyan,Verão,4.4,Yes,Credit Card,Express,Yes,Yes,5,Cash,Semanal
70,70,70,71,22,Masculino,Cinto,Acessórios,29,Alabama,M,Magenta,Outono,4.2,Yes,Credit Card,Express,Yes,Yes,32,Debit Card,Cada 3 meses
71,71,71,72,36,Masculino,Vestido,Roupas,48,Virginia,L,Gold,Verão,2.9,Yes,Debit Card,Express,Yes,Yes,34,Bank Transfer,Anual
72,72,72,73,18,Masculino,Vestido,Roupas,26,Georgia,M,Olive,Inverno,2.9,Yes,Debit Card,Store Pickup,Yes,Yes,21,Bank Transfer,Cada 3 meses
73,73,73,74,48,Masculino,Calças,Roupas,85,Hawaii,M,Teal,Primavera,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,43,Bank Transfer,Cada 2 semanas
74,74,74,75,49,Masculino,Luvas,Acessórios,58,Indiana,L,Violet,Primavera,4.5,Yes,PayPal,Express,Yes,Yes,3,Cash,Mensal
75,75,75,76,64,Masculino,Lenço,Acessórios,85,Utah,M,Blue,Verão,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,21,Credit Card,Anual
76,76,76,77,50,Masculino,Chapéu,Acessórios,43,Delaware,S,Teal,Verão,4.2,Yes,Bank Transfer,Free Shipping,Yes,Yes,32,Venmo,Mensal
77,77,77,78,22,Masculino,Vestido,Roupas,53,Delaware,L,Gold,Verão,3.3,Yes,Debit Card,Next Day Air,Yes,Yes,36,Debit Card,Quinzenal
78,78,78,79,50,Masculino,Saia,Roupas,91,Nebraska,M,Maroon,Primavera,4.7,Yes,Venmo,Free Shipping,Yes,Yes,50,Venmo,Quinzenal
79,79,79,80,38,Masculino,Jaqueta,Agasalhos,96,Iowa,M,Olive,Inverno,2.6,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,43,Bank Transfer,Cada 3 meses
80,80,80,81,19,Masculino,Sandálias,Calçados,72,New York,XL,Blue,Verão,3.3,Yes,Credit Card,Store Pickup,Yes,Yes,24,Credit Card,Cada 3 meses
81,81,81,82,67,Masculino,Sapatos,Calçados,96,Virginia,L,Maroon,Verão,2.6,Yes,PayPal,Express,Yes,Yes,36,Credit Card,Cada 3 meses
82,82,82,83,19,Masculino,Calças,Roupas,28,Georgia,S,Olive,Primavera,4.0,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,21,Credit Card,Cada 3 meses
83,83,83,84,36,Masculino,Vestido,Roupas,40,Texas,M,Turquoise,Verão,4.1,Yes,Debit Card,Standard,Yes,Yes,34,Bank Transfer,Semanal
84,84,84,85,52,Masculino,Casaco,Agasalhos,32,Arizona,S,Peach,Primavera,4.4,Yes,Cash,Standard,Yes,Yes,42,Bank Transfer,Cada 3 meses
85,85,85,86,53,Masculino,Óculos de sol,Acessórios,95,New Mexico,M,Charcoal,Inverno,4.5,Yes,Credit Card,Next Day Air,Yes,Yes,2,Debit Card,Cada 2 semanas
86,86,86,87,24,Masculino,Hoodie,Roupas,41,Nevada,L,Pink,Primavera,3.7,Yes,Venmo,2-Day Shipping,Yes,Yes,47,Cash,Cada 2 semanas
87,87,87,88,52,Masculino,Sapatos,Calçados,53,Ohio,M,Green,Outono,3.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,44,Debit Card,Quinzenal
88,88,88,89,33,Masculino,T-shirt,Roupas,47,Wyoming,M,Orange,Outono,3.5,Yes,Credit Card,Free Shipping,Yes,Yes,35,Credit Card,Mensal
89,89,89,90,47,Masculino,Jaqueta,Agasalhos,83,California,XL,Pink,Outono,3.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,15,Cash,Trimestral
90,90,90,91,25,Masculino,Chapéu,Acessórios,48,South Carolina,L,Violet,Verão,2.9,Yes,Venmo,Express,Yes,Yes,29,Credit Card,Mensal
91,91,91,92,44,Masculino,Lenço,Acessórios,99,South Carolina,S,Green,Inverno,4.6,Yes,PayPal,Standard,Yes,Yes,18,Credit Card,Cada 3 meses
92,92,92,93,61,Masculino,Jaqueta,Agasalhos,87,Texas,M,Olive,Inverno,4.4,Yes,Cash,2-Day Shipping,Yes,Yes,13,Venmo,Cada 3 meses
93,93,93,94,37,Masculino,Suéter,Roupas,62,Florida,M,Purple,Outono,4.5,Yes,PayPal,Standard,Yes,Yes,46,Credit Card,Semanal
94,94,94,95,58,Masculino,Saia,Roupas,76,Nevada,S,Silver,Primavera,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,28,Credit Card,Semanal
95,95,95,96,37,Masculino,Tênis,Calçados,100,Missouri,L,Pink,Outono,3.8,Yes,PayPal,Free Shipping,Yes,Yes,48,PayPal,Mensal
96,96,96,97,32,Masculino,Luvas,Acessórios,73,Delaware,S,Gold,Primavera,3.6,Yes,Venmo,Express,Yes,Yes,43,Venmo,Cada 3 meses
97,97,97,98,21,Masculino,Sapatos,Calçados,92,Virginia,M,Teal,Inverno,4.8,Yes,PayPal,Store Pickup,Yes,Yes,37,Cash,Anual
98,98,98,99,20,Masculino,Jeans,Roupas,67,New York,XL,Teal,Primavera,2.6,Yes,Cash,Next Day Air,Yes,Yes,20,Bank Transfer,Anual
99,99,99,100,26,Masculino,Hoodie,Roupas,40,Missouri,XL,Indigo,Verão,3.7,Yes,Cash,Express,Yes,Yes,33,Debit Card,Trimestral
100,100,100,101,62,Masculino,Óculos de sol,Acessórios,98,South Dakota,M,Maroon,Outono,2.7,Yes,PayPal,Express,Yes,Yes,31,Cash,Quinzenal
101,101,101,102,27,Masculino,Casaco,Agasalhos,85,North Dakota,XL,White,Primavera,4.6,Yes,Venmo,Express,Yes,Yes,50,Credit Card,Cada 2 semanas
102,102,102,103,51,Masculino,Meias,Roupas,67,Oklahoma,L,Violet,Inverno,4.8,Yes,Credit Card,Next Day Air,Yes,Yes,35,Credit Card,Trimestral
103,103,103,104,54,Masculino,Botas,Calçados,89,West Virginia,L,Red,Inverno,4.0,Yes,Debit Card,Next Day Air,Yes,Yes,22,Venmo,Cada 2 semanas
104,104,104,105,55,Masculino,Óculos de sol,Acessórios,24,New Hampshire,L,Pink,Primavera,4.4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,1,PayPal,Mensal
105,105,105,106,69,Masculino,Mochila,Acessórios,96,New York,M,Charcoal,Outono,3.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,4,Bank Transfer,Anual
106,106,106,107,64,Masculino,Jaqueta,Agasalhos,35,Minnesota,L,White,Verão,3.7,Yes,Cash,Standard,Yes,Yes,31,Credit Card,Mensal
107,107,107,108,28,Masculino,Tênis,Calçados,67,Maryland,L,Olive,Inverno,3.1,Yes,Cash,Next Day Air,Yes,Yes,46,PayPal,Quinzenal
108,108,108,109,70,Masculino,Meias,Roupas,79,Montana,L,Purple,Primavera,3.4,Yes,Bank Transfer,Next Day Air,Yes,Yes,32,Bank Transfer,Cada 2 semanas
109,109,109,110,58,Masculino,T-shirt,Roupas,85,Alabama,M,Violet,Primavera,2.6,Yes,Cash,Next Day Air,Yes,Yes,43,Bank Transfer,Quinzenal
110,110,110,111,56,Masculino,Mochila,Acessórios,26,New York,M,Black,Verão,4.0,Yes,Bank Transfer,Standard,Yes,Yes,26,Venmo,Quinzenal
111,111,111,112,26,Masculino,Cinto,Acessórios,75,Massachusetts,L,Purple,Verão,5.0,Yes,PayPal,Free Shipping,Yes,Yes,9,Credit Card,Anual
112,112,112,113,37,Masculino,Luvas,Acessórios,65,Florida,M,Red,Primavera,4.3,Yes,Credit Card,Free Shipping,Yes,Yes,28,PayPal,Cada 2 semanas
113,113,113,114,44,Masculino,Chapéu,Acessórios,54,New Jersey,L,Maroon,Inverno,3.1,Yes,Debit Card,Next Day Air,Yes,Yes,20,PayPal,Trimestral
114,114,114,115,70,Masculino,Casaco,Agasalhos,95,Massachusetts,S,Blue,Verão,3.7,Yes,Venmo,Store Pickup,Yes,Yes,9,Cash,Semanal
115,115,115,116,53,Masculino,Saia,Roupas,94,Wyoming,M,Gray,Primavera,3.8,Yes,Cash,Standard,Yes,Yes,48,Debit Card,Cada 3 meses
116,116,116,117,55,Masculino,Sapatos,Calçados,86,Virginia,S,Blue,Primavera,3.4,Yes,PayPal,Free Shipping,Yes,Yes,12,Venmo,Anual
117,117,117,118,50,Masculino,Sandálias,Calçados,32,South Dakota,L,Yellow,Verão,4.6,Yes,Bank Transfer,Express,Yes,Yes,29,Cash,Quinzenal
118,118,118,119,50,Masculino,Suéter,Roupas,45,Kentucky,L,Orange,Outono,4.8,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,27,Cash,Cada 2 semanas
119,119,119,120,38,Masculino,Casaco,Agasalhos,76,Wyoming,M,Orange,Outono,4.3,Yes,Debit Card,Express,Yes,Yes,44,Cash,Anual
120,120,120,121,64,Masculino,Chapéu,Acessórios,84,West Virginia,L,Red,Verão,4.0,Yes,PayPal,Express,Yes,Yes,32,Bank Transfer,Anual
121,121,121,122,19,Masculino,Shorts,Roupas,72,Virginia,M,Olive,Inverno,4.2,Yes,Cash,Standard,Yes,Yes,11,Cash,Quinzenal
122,122,122,123,40,Masculino,Mochila,Acessórios,40,Washington,L,Brown,Primavera,4.8,Yes,Credit Card,2-Day Shipping,Yes,Yes,44,Cash,Quinzenal
123,123,123,124,57,Masculino,Suéter,Roupas,89,Louisiana,L,Brown,Outono,3.1,Yes,Debit Card,Free Shipping,Yes,Yes,46,Cash,Semanal
124,124,124,125,44,Masculino,Suéter,Roupas,86,Nevada,M,Gray,Primavera,3.1,Yes,PayPal,Next Day Air,Yes,Yes,50,PayPal,Anual
125,125,125,126,49,Masculino,Shorts,Roupas,54,California,M,Indigo,Inverno,3.6,Yes,Cash,Next Day Air,Yes,Yes,45,Venmo,Cada 3 meses
126,126,126,127,43,Masculino,Shorts,Roupas,36,Mississippi,L,Pink,Primavera,3.9,Yes,Bank Transfer,Store Pickup,Yes,Yes,48,Cash,Cada 3 meses
127,127,127,128,24,Masculino,Suéter,Roupas,89,Mississippi,M,Gray,Inverno,4.8,Yes,Venmo,Next Day Air,Yes,Yes,26,Credit Card,Semanal
128,128,128,129,20,Masculino,Lenço,Acessórios,32,California,M,Gold,Primavera,4.7,Yes,Venmo,Standard,Yes,Yes,21,Credit Card,Quinzenal
129,129,129,130,24,Masculino,Vestido,Roupas,67,Pennsylvania,XL,Olive,Verão,4.2,Yes,Cash,2-Day Shipping,Yes,Yes,49,PayPal,Cada 2 semanas
130,130,130,131,44,Masculino,Lenço,Acessórios,39,Kentucky,L,Violet,Outono,3.7,Yes,Credit Card,Next Day Air,Yes,Yes,13,PayPal,Quinzenal
131,131,131,132,28,Masculino,Saia,Roupas,29,Maine,L,Indigo,Verão,3.9,Yes,PayPal,Standard,Yes,Yes,46,Credit Card,Semanal
132,132,132,133,30,Masculino,Mochila,Acessórios,58,New Mexico,M,Orange,Outono,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,42,PayPal,Semanal
133,133,133,134,52,Masculino,Suéter,Roupas,65,Montana,M,Violet,Inverno,2.5,Yes,Bank Transfer,Next Day Air,Yes,Yes,25,Venmo,Anual
134,134,134,135,43,Masculino,Chapéu,Acessórios,94,Texas,L,Gray,Outono,4.9,Yes,Credit Card,Store Pickup,Yes,Yes,25,Cash,Mensal
135,135,135,136,43,Masculino,Sandálias,Calçados,81,Kansas,M,Purple,Outono,4.1,Yes,PayPal,Express,Yes,Yes,12,PayPal,Trimestral
136,136,136,137,39,Masculino,Blusa,Roupas,86,South Carolina,M,White,Inverno,3.3,Yes,Credit Card,Free Shipping,Yes,Yes,4,Debit Card,Trimestral
137,137,137,138,68,Masculino,Tênis,Calçados,43,Colorado,M,Turquoise,Primavera,4.7,Yes,Cash,Free Shipping,Yes,Yes,38,PayPal,Semanal
138,138,138,139,68,Masculino,Saia,Roupas,29,Georgia,M,Maroon,Inverno,4.4,Yes,Cash,Store Pickup,Yes,Yes,42,Bank Transfer,Semanal
139,139,139,140,49,Masculino,Casaco,Agasalhos,95,Florida,M,White,Outono,3.8,Yes,Debit Card,Store Pickup,Yes,Yes,30,Venmo,Anual
140,140,140,141,63,Masculino,Camisa,Roupas,28,North Carolina,L,Yellow,Outono,3.9,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,50,Credit Card,Semanal
141,141,141,142,56,Masculino,Luvas,Acessórios,46,Virginia,M,Turquoise,Outono,4.9,Yes,PayPal,Free Shipping,Yes,Yes,45,PayPal,Semanal
142,142,142,143,37,Masculino,Jaqueta,Agasalhos,58,Nebraska,L,Violet,Outono,3.1,Yes,PayPal,Free Shipping,Yes,Yes,33,Credit Card,Quinzenal
143,143,143,144,30,Masculino,Casaco,Agasalhos,48,Missouri,M,Beige,Outono,2.7,Yes,Bank Transfer,Store Pickup,Yes,Yes,25,PayPal,Trimestral
144,144,144,145,19,Masculino,Sapatos,Calçados,43,New Jersey,M,Silver,Outono,3.2,Yes,Credit Card,Express,Yes,Yes,25,Cash,Mensal
145,145,145,146,24,Masculino,Jóias,Acessórios,95,Missouri,M,Teal,Outono,4.5,Yes,Venmo,Standard,Yes,Yes,44,Debit Card,Trimestral
146,146,146,147,52,Masculino,Saia,Roupas,30,Colorado,S,Black,Outono,4.0,Yes,Debit Card,Standard,Yes,Yes,21,Venmo,Quinzenal
147,147,147,148,63,Masculino,Sapatos,Calçados,64,Idaho,M,Purple,Verão,3.5,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,31,Bank Transfer,Quinzenal
148,148,148,149,37,Masculino,Luvas,Acessórios,90,Wyoming,M,Gray,Outono,2.6,Yes,PayPal,Store Pickup,Yes,Yes,47,Debit Card,Anual
149,149,149,150,38,Masculino,Calças,Roupas,76,Delaware,M,White,Verão,3.2,Yes,Venmo,Free Shipping,Yes,Yes,14,PayPal,Mensal
150,150,150,151,35,Masculino,Botas,Calçados,96,California,L,Cyan,Outono,4.9,Yes,Bank Transfer,Standard,Yes,Yes,17,Debit Card,Cada 3 meses
151,151,151,152,28,Masculino,Óculos de sol,Acessórios,47,North Dakota,L,Turquoise,Outono,4.5,Yes,Debit Card,Next Day Air,Yes,Yes,3,Venmo,Anual
152,152,152,153,30,Masculino,Camisa,Roupas,85,South Carolina,S,Brown,Verão,4.3,Yes,PayPal,Express,Yes,Yes,42,Venmo,Anual
153,153,153,154,69,Masculino,Hoodie,Roupas,55,North Carolina,M,Maroon,Inverno,3.2,Yes,Debit Card,Standard,Yes,Yes,22,Debit Card,Anual
154,154,154,155,41,Masculino,Vestido,Roupas,98,Oklahoma,M,Charcoal,Outono,3.6,Yes,Debit Card,Next Day Air,Yes,Yes,21,Venmo,Trimestral
155,155,155,156,63,Masculino,Meias,Roupas,77,Maine,S,Olive,Primavera,4.3,Yes,Cash,Free Shipping,Yes,Yes,21,Bank Transfer,Trimestral
156,156,156,157,35,Masculino,Shorts,Roupas,26,Missouri,M,Lavender,Outono,4.0,Yes,Venmo,Standard,Yes,Yes,40,Debit Card,Anual
157,157,157,158,36,Masculino,Chapéu,Acessórios,68,Vermont,S,Yellow,Outono,3.0,Yes,Debit Card,Next Day Air,Yes,Yes,1,Bank Transfer,Quinzenal
158,158,158,159,25,Masculino,Camisa,Roupas,73,Connecticut,XL,Teal,Outono,4.1,Yes,Bank Transfer,Standard,Yes,Yes,50,Bank Transfer,Mensal
